MANUFACTURER_NAME	MFG_CODE	PART_NUMBER	PRICE	MSRP	MAP_PRICE	SERIALIZED	TANGIBLE	WEIGHT	COUNTRY_OF_ORIGIN	PRODUCT_DESCRIPTION	CATEGORY	IN_STOCK	LOC_01	LOC_02	LOC_03	LOC_04	LOC_05	LOC_06	LOC_07	LOC_08	LOC_09	LOC_10	ORG
OPTICON	OPT	02-BATLION-37	16.35	29.00		N	Y	0.01	CN	OPTICON, WT02 BATTERY, LI-ON, 3200MAH	OPT.HARDWARE.ACCESSORIES..	0	0	0									121
OPTICON	OPT	77-ARMBM00-01	33.30	59.00		N	Y	0.13	CN	OPTICON, G03 ARM BAND FOR OPTICON PX-20 BLUETOOTH SCANNER, UNIVERSAL, MEDIUM SIZE, REAL LEATHER (TRIGGER CORD EXISTS LEFT)	OPT.HARDWARE.ACCESSORIES..	0	0	0									121
OPTICON	OPT	77-ARMBMUN02-01	88.80	119.00		N	Y	0.82	CN	OPTICON, WT02 WEARABLE DATA TERMINAL ARM BAND SUPPORT WITH 3200 MAH LI-ON BATTERY, USB COILED CORD, USA 5V, 2A USB-A POWER ADAPTER, STANDARD USB. MEDIUM/LARGE	OPT.HARDWARE.ACCESSORIES..	0	0	0									121
OPTICON	OPT	77-MISCCBL-01	5.75	10.00		N	Y	0.01	CN	OPTICON, G03 TRIGGER CABLE (EXISTS RIGHT FROM BACK OF PX-20)	OPT.HARDWARE.ACCESSORIES..	0	0	0									121
OPTICON	OPT	77-MISCCVR-01	5.75	10.00		N	Y	0.01	CN	OPTICON, G03 TRIGGER CABLE COVER (LEATHER & VELCRO STRAPS)	OPT.HARDWARE.ACCESSORIES..	0	0	0									121
OPTICON	OPT	77-MISCSTRP-01	17.25	29.00		N	Y	0.07	CN	OPTICON, WT02S - SMALL ARMBAND, (STRAP) ONLY (MUST CONFIRM WHAT SIZE STRAP IS NEEDED. SMALL OR LARGE)	OPT.HARDWARE.ACCESSORIES..	0	0	0									121
PANASONIC	PAN	FZ-SVTCHHLESETUP	750.60	1025.00		N	N	1	JP	PANASONIC US,WARRANTY,EDGE LASER ETCHING AT PNSCM, SETUP FEE FOR FZ-N1, FZ-A3, FZ-T1, FZ-L1 ,NCNR	PAN.SERVICES.WARRANTIES..	0	0	0									121
OPTICON	OPT	77-YGLVMRH00-01	27.75	49.00		N	Y	0.05	CN	OPTICON,G01 GLOVE FOR OPTICON PX-20 BLUETOOTH SCANNER, RIGHT HANDED, MEDIUM SIZE, SUPER FIBRE	OPT.HARDWARE.ACCESSORIES..	0	0	0									121
DATALOGIC SCANNING	DLS	90ACC0300	250.70	426.00		Y	Y	4.6	VI	DATALOGIC ADC, TOP, LLT, MGL3500	DLS.HARDWARE.MAGELLAN 2300HS..	0	0	0									121
DATALOGIC SCANNING	DLS	90ACC0302	23.54	40.00		Y	Y	4.7	VI	DATALOGIC ADC, TOP, TIN OXIDE, MGL3500	DLS.HARDWARE.MAGELLAN 2300HS..	0	0	0									121
DATALOGIC SCANNING	DLS	90ACC0355	38.84	66.00		Y	Y	3.1	VI	DATALOGIC ADC, MOUNT, SPLIT, MGL3550HSI	DLS.HARDWARE.MAGELLAN 2300HS..	0	0	0									121
TSC AMERICA	TSC	98-0350035-51LF	591.00	591.00		N	Y	1	TW	TSC, SPARE PART TTP-384M MAIN BOARD MAIN BOARD	TSC.PARTS.SPARE PARTS..	0	0	0									121
CIPHER LABS	CIP	A2564S2BKR0S1	410.20	631.08	441.76	Y	Y	1	TW	CIPHERLAB, 2564 2D IMAGER, BLACK, CORDLESS BT SCANNER RS232 KIT, 2564 2D IMAGER BT SCANNER W 800 MAH BATTERY, BT BASE, US ADAPTER, RS232 CABLE	CIP.HARDWARE.CIP 2500..	0	0	0									121
CIPHER LABS	CIP	M25642PR30001	145.35	153.00	153.00	N	N	1	TW	CIPHERLAB, EXTENDED WARRANTY, 3 YR. PREMIUM COMPREHENSIVE FOR 2560 SERIES W/ 2D SCAN ENGINE	ZOT.SERVICES.WARRANTIES.OEM.	0	0	0									121
ZEBRA ENTERPRISE	MOT	MC930B-GSADG4NA	2157.86	3668.41		Y	Y	2.46	CN	ZEBRA EVM/EMC, DISCONTINUED, REFER TO MC9401-0G1J6DSS-NA, MC9300-G, WLAN, STD. RANGE 1D LASER SE965, 4.3" DISPLAY, 4GB RAM/32GB FLASH, 53 KEY, ANDROID GMS, BLUETOOTH, 7000 MAH BATTERY	MOT.HARDWARE.MOT MCD MC93..	0	0	0									121
