sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
89870,XRMAG30WHU,0,0,0,20.04,,
89871,XRMAG30YFT,3,3,0,20.04,,
89872,XRMAG30YFU,0,0,0,20.04,,
89873,2000032007,0,0,0,35.33,44.99,
89874,2000023362,0,0,0,115.63,,
89877,P13157-200TEBCL,2,0,2,248.37,,
89878,P13157-200TEBBK,5,2,3,248.37,,
89879,P13157-200TEBGR,3,2,1,248.37,,
89881,50061,2,1,1,321.36,,
89882,59002,0,0,0,42.79,,
89911,TPA369,1,0,1,146.78,,
89912,P102996,0,0,0,209.67,,
89915,DFW4X-4,0,0,0,54.0,,
89922,BPP920140100,0,0,0,79.92,,98.6
89923,A-5-BLACK,10,5,5,197.44,,
89924,10-758,0,0,0,42.26,,
89926,020-00200-24,0,0,0,101.24,,
89930,020-00200-23,1,1,0,412.49,,
89933,UC128TS-1,0,0,0,558.54,,
89936,1468,1,0,1,12.99,,
89937,I10VSD 230V,1,0,1,3450.58,,
89939,I21VSD 230V,1,0,1,4022.17,,
89947,740206-1,0,0,0,196.98,,
89949,770032-1,3,3,0,113.64,,
89950,770033-1,0,0,0,227.28,,
89951,740204-1,11,11,0,330.0,,
89952,740205-1,9,9,0,338.94,,
89953,700066-1,25,25,0,1099.99,,
89956,FNTCD2022000A00,0,0,0,232.32,,
89957,96634,16,9,7,10.15,13.59,
89964,550105,8,3,5,152.49,,
89968,5289,15,10,5,11.37,,
89986,PWR 12V,0,0,0,2500.0,,
89987,PWR 24V,0,0,0,2511.11,,
89988,G-3A 12V,0,0,0,661.11,,
89989,G-3A 24V,0,0,0,672.22,,
89990,G-6A 12V,0,0,0,720.0,,
89991,G-6A 24V,0,0,0,731.11,,
89992,G-4A 12V,0,0,0,687.22,,
89993,G-4A 24V,0,0,0,698.33,,
89997,010-12507-01,23,11,12,9.74,,
89998,010-12504-01,0,0,0,14.99,,
90000,010-12676-05,0,0,0,157.49,,
90001,010-12676-40,38,38,0,41.24,,
90002,010-12531-10,49,19,30,22.49,,
90015,EFC-03 BLUE,5,4,1,30.99,,
90022,D180101,0,0,0,69.93,,
90023,M11032,0,0,0,39.67,,
90024,D10701,19,13,6,18.5,,
90025,M20508,28,14,14,10.53,,
90026,1831061,4,2,2,84.49,,
90027,1831101,3,3,0,103.99,,
90028,101692,13,2,11,81.86,,
90029,1832121,5,3,2,142.99,,
90030,101693,11,4,7,89.73,,
90031,1832201,5,2,3,207.99,,
90034,1833181,10,9,1,194.99,,
90035,1833301,5,0,5,259.99,,
90037,1834401,15,9,6,344.49,,
90039,1835500,33,14,19,489.99,,
90046,131200,5,0,5,8.47,,
90047,171200,3,3,0,13.43,,
90049,8120,4,4,0,214.74,,
90050,010-12390-45,0,0,0,67.49,,
90051,010-12390-46,0,0,0,74.99,,
90057,CANVT,0,0,0,43.47,,
90058,BP125G75,0,0,0,82.0,98.4,
90062,SCC115110411,10,3,7,418.91,,516.8
90067,CMD6-MD-BR,8,4,4,102.5,,
90069,CMD6-MB-BR,0,0,0,102.5,,
90071,CMD6-MD-R,9,7,2,102.5,,
90073,CMD6-MB-R,11,5,6,102.5,,
90074,0590DPWCHR,7,0,7,68.48,,
90079,01-0419-01,0,0,0,1333.33,,
90080,411660-1,17,9,8,277.55,,
90081,411680-1,0,0,0,407.66,,
90082,411670-1,9,6,3,320.92,,
90084,411610-1,6,3,3,531.99,,
90086,411630-1,4,2,2,620.17,,699.99
90087,411640-1CHO,3,3,0,620.17,,699.99
90088,411640-1,6,4,2,664.47,,749.99
90089,411650-1,9,8,1,841.67,,949.99
90098,GP1920-00,0,0,0,378.17,,
90099,648-330,0,0,0,124.5,,
90100,33-476-01,0,0,0,71.25,,
90102,RF4056,5,3,2,108.69,161.46,
90103,A2C59512458,6,2,4,41.3,51.84,
90104,A2C59514117,3,2,1,41.3,51.84,
90106,649-089,0,0,0,124.5,,
90107,650-330,0,0,0,124.5,,
90108,651-330,0,0,0,124.5,,
90109,647-600,0,0,0,64.72,,
90110,647-700,0,0,0,64.72,,
90111,647-792,0,0,0,64.72,,
90112,740200-1,3,2,1,49.24,,
90113,740199-1,3,1,2,45.45,,
90114,780044-1,10,8,2,32.46,,
90115,010-12964-00,0,0,0,25.56,,
90116,010-12964-01,7,7,0,12.99,,
90117,010-12964-10,5,5,0,9.74,,
90118,010-12964-11,0,0,0,9.74,,
90119,010-12964-02,0,0,0,12.99,,
90120,010-13097-00,5,3,2,8.88,,
90121,010-12814-01,0,0,0,13.64,,
